best_states.txt

Below are the top ranked states which are models of high-quality care. Using the same score as I used to rank hospitals (a combination of Normalized Clinical Care metrics), I grouped by state and found the average score. While this list may be biased by small states (and therefore a low count of hospitals within the state) I believe it is a good representation of states with high-quality care. States such as California and Florida have a large number of hospitals but still compete nationally in terms of average hospital score.


State 	Rank	Average Score	Count of Hospitals in State
-----------------------------------------------------------
RI		1		58.19			10
DE		2		55.0			6
MA		3		52.71			56
NH		4		49.13			13
FL		5		48.95			164
MT		6		48.89			12
CT		7		48.84			27
CA		8		48.64			277
ID		9		47.64			13
IL		10		47.35			121
